"table_name","column_name","data_type"
"users","instance_id","uuid"
"users","id","uuid"
"users","aud","character varying"
"users","role","character varying"
"users","email","character varying"
"users","encrypted_password","character varying"
"users","email_confirmed_at","timestamp with time zone"
"users","invited_at","timestamp with time zone"
"users","confirmation_token","character varying"
"users","confirmation_sent_at","timestamp with time zone"
"users","recovery_token","character varying"
"users","recovery_sent_at","timestamp with time zone"
"users","email_change_token_new","character varying"
"users","email_change","character varying"
"users","email_change_sent_at","timestamp with time zone"
"users","last_sign_in_at","timestamp with time zone"
"users","raw_app_meta_data","jsonb"
"users","raw_user_meta_data","jsonb"
"users","is_super_admin","boolean"
"users","created_at","timestamp with time zone"
"users","updated_at","timestamp with time zone"
"users","phone","text"
"users","phone_confirmed_at","timestamp with time zone"
"users","phone_change","text"
"users","phone_change_token","character varying"
"users","phone_change_sent_at","timestamp with time zone"
"users","confirmed_at","timestamp with time zone"
"users","email_change_token_current","character varying"
"users","email_change_confirm_status","smallint"
"users","banned_until","timestamp with time zone"
"users","reauthentication_token","character varying"
"users","reauthentication_sent_at","timestamp with time zone"
"users","is_sso_user","boolean"
"users","deleted_at","timestamp with time zone"
"users","is_anonymous","boolean"
